order_item_id,order_id,product_id,quantity
1,1,5,1
2,1,16,3
3,1,6,2
4,2,20,2
5,2,7,3
6,2,7,3
7,3,13,3
8,3,12,2
9,4,15,1
10,4,8,1
11,4,3,2
12,5,19,3
13,6,19,1
14,7,3,3
15,8,2,1
16,8,3,1
17,8,11,1
18,9,8,2
19,9,16,1
20,9,18,1
21,10,19,3
22,10,16,1
23,10,16,2
24,11,4,1
25,12,14,2
26,12,14,2
27,12,15,3
28,13,4,1
29,14,11,1
30,14,8,1
31,15,18,2
32,16,14,1
33,17,15,1
34,17,3,2
35,18,4,1
36,18,18,1
37,18,3,1
38,19,14,2
39,20,7,2
40,20,2,1
41,21,1,2
42,21,9,2
43,22,14,3
44,22,18,3
45,23,16,1
46,23,7,2
47,23,7,1
48,24,18,1
49,24,11,1
50,24,2,3
51,25,17,3
52,25,6,1
53,26,3,1
54,26,3,3
55,26,3,3
56,27,13,1
57,28,8,3
58,28,20,1
59,28,20,1
60,29,19,3
61,29,17,2
62,30,7,3
63,30,11,1
64,31,13,1
65,31,10,2
66,32,3,1
67,32,15,3
68,33,4,1
69,33,18,1
70,33,17,2
71,34,12,1
72,35,12,2
73,36,15,3
74,37,10,3
75,37,17,1
76,37,18,2
77,38,4,1
78,38,9,1
79,38,4,3
80,39,5,2
81,39,10,3
82,39,7,3
83,40,7,3
84,40,9,3
85,41,9,1
86,41,3,3
87,42,9,1
88,42,1,2
89,43,9,1
90,44,15,3
91,44,14,3
92,44,1,1
93,45,5,3
94,46,12,3
95,47,5,2
96,47,5,1
97,47,10,2
98,48,12,1
99,49,8,3
100,49,4,2
101,49,18,2
102,50,5,1
103,50,6,1
104,50,14,1
105,51,11,2
106,52,8,2
107,52,6,3
108,52,4,2
109,53,16,1
110,54,15,2
111,55,8,1
112,55,1,3
113,56,13,2
114,57,3,2
115,57,12,3
116,58,13,3
117,58,18,2
118,58,1,1
119,59,6,3
120,59,9,1
121,60,20,2
122,61,11,2
123,61,20,3
124,62,13,3
125,63,9,1
126,64,14,1
127,64,17,3
128,64,7,2
129,65,3,3
130,65,11,3
131,66,4,3
132,66,10,3
133,67,14,2
134,67,13,3
135,68,18,1
136,68,7,2
137,69,13,3
138,69,6,3
139,69,19,2
140,70,18,1
141,70,10,2
142,71,14,3
143,72,11,2
144,72,15,2
145,72,7,3
146,73,6,3
147,73,3,2
148,74,20,2
149,74,3,1
150,74,10,1
151,75,5,1
152,76,8,2
153,77,3,2
154,77,14,3
155,77,19,1
156,78,13,2
157,78,13,1
158,78,5,3
159,79,1,1
160,79,14,1
161,79,6,3
162,80,15,1
163,80,18,1
164,80,4,2
165,81,15,3
166,82,18,3
167,82,11,2
168,82,20,3
169,83,14,3
170,83,15,1
171,83,16,2
172,84,8,3
173,84,9,3
174,85,8,2
175,85,15,1
176,86,10,1
177,86,9,2
178,86,11,3
179,87,5,1
180,88,13,3
181,89,7,1
182,90,14,2
183,90,18,2
184,91,2,1
185,91,14,2
186,92,1,3
187,92,13,2
188,92,1,2
189,93,13,2
190,93,18,3
191,94,18,3
192,94,8,2
193,94,8,2
194,95,16,1
195,95,13,2
196,96,13,3
197,96,6,2
198,96,5,3
199,97,1,2
200,97,19,3
201,97,1,1
202,98,14,1
203,98,15,1
204,98,2,2
205,99,11,1
206,99,15,2
207,100,13,2
208,100,14,2
